Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Sin City,2005-04-01,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",7.458,7947,en,Thriller;Action;Crime,124,Walk down the right back alley in Sin City and you can find anything...,40000000,158700000,Dimension Films;Troublemaker Studios;Miramax,United States of America,English,tt0401792
Sahara,2005-04-06,"Seasoned adventurer and treasure hunter Dirk Pitt, a former Navy SEAL, sets out for the African desert with his wisecracking buddy Al in search of a confederate ironclad battleship rumored to have vanished long ago, the main draw being the treasure supposedly hidden within the lost vessel. When the daring duo come across Dr. Eva Rojas, a beautiful scientist who is juggling an escape from a warlord and a mission to stop the spread of a powerful plague, their desert expedition begins to heat up.",5.909,1443,en,Action;Adventure;Comedy;Drama;Mystery,124,Adventure has a new destination.,130000000,119269486,Baldwin Entertainment Group;Desertlands Entertainment;Mace Neufeld Productions;KanZaman Productions;J.K. Livin Productions;Moguletta;Babelsberg Film;Walden Media;Summit Entertainment;Dune Films,Germany;Morocco;Spain;United Kingdom;United States of America,English;Français;العربية,tt0318649
American Dad!: The New CIA,2005-04-08,"The American Dad! short film; which precedes before the theatrical run of the 2005 feature Fever Pitch; is about Stan Smith touring his work days in the CIA and his ""normal"" every day life.",7.4,17,en,Animation;Comedy,3,,0,0,Underdog Productions;Fuzzy Door Productions;20th Century Fox Animation;20th Century Fox Television;Fox Television Animation,United States of America,English,tt0455905
The Hitchhiker's Guide to the Galaxy,2005-04-28,"Mere seconds before the Earth is to be demolished by an alien construction crew, Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy.""",6.669,3777,en,Adventure;Comedy;Science Fiction,109,Don't leave Earth without it,50000000,104500000,Spyglass Entertainment;Everyman Pictures;Hammer & Tongs;Touchstone Pictures,United Kingdom;United States of America,English,tt0371724
Kingdom of Heaven,2005-05-03,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",6.959,4134,en,Drama;Action;Adventure;History;War,144,"Be without fear in the face of your enemies. Safeguard the helpless, and do no wrong",130000000,218100001,Scott Free Productions;BK;KOH;Reino del Cielo;Inside Track 3;20th Century Fox;Babelsberg Film,Germany;Spain;United Kingdom;United States of America,العربية;English;Italiano;Latin,tt0320661
House of Wax,2005-05-05,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,6,2939,en,Mystery;Horror;Thriller,113,Prey. Slay. Display.,40000000,68766121,Village Roadshow Pictures;Dark Castle Entertainment;Warner Bros. Pictures,United States of America,English,tt0397065
Crash,2005-05-06,"In post-Sept. 11 Los Angeles, tensions erupt when the lives of a Brentwood housewife, her district attorney husband, a Persian shopkeeper, two cops, a pair of carjackers and a Korean couple converge during a 36-hour period.",7.22,3389,en,Drama,112,"Moving at the speed of life, we are bound to collide with each other.",6500000,98400000,Lionsgate;Blackfriars Bridge Films;Yari Film Group;Bob Yari Productions;ApolloProScreen Filmproduktion;Bull's Eye Entertainment;DEJ Productions;Harris Company,Germany;United States of America,English;فارسی;Español;普通话;한국어/조선말,tt0375679
Star Wars: Episode III - Revenge of the Sith,2005-05-17,The evil Darth Sidious enacts his final plan for unlimited power -- and the heroic Jedi Anakin Skywalker must choose a side.,7.43,13454,en,Adventure;Action;Science Fiction,140,The saga is complete.,113000000,850000000,Lucasfilm Ltd.,United States of America,English,tt0121766
Madagascar,2005-05-25,"Alex the lion is the king of the urban jungle, the main attraction at New York's Central Park Zoo. He and his best friends—Marty the zebra, Melman the giraffe and Gloria the hippo—have spent their whole lives in blissful captivity before an admiring public and with regular meals provided for them. Not content to leave well enough alone, Marty lets his curiosity get the better of him and makes his escape—with the help of some prodigious penguins—to explore the world.",6.9,10654,en,Family;Animation;Adventure;Comedy,86,Someone’s got a zoo loose.,75000000,542100000,Pacific Data Images;DreamWorks Animation,United States of America,English;Français;Deutsch;Português;Español,tt0351283
The Longest Yard,2005-05-27,"Disgraced pro football quarterback Paul Crewe lands in a Texas federal penitentiary, where manipulative Warden Hazen recruits him to advise the institution's football team of prison guards. Crewe suggests a tune-up game which lands him quarterbacking a crew of inmates in a game against the guards. Aided by incarcerated ex-NFL coach and player Nate Scarborough, Crewe and his team must overcome not only the bloodthirstiness of the opposition, but also the corrupt warden trying to fix the game against them.",6.653,3280,en,Drama;Comedy,113,"If you can't get out, get even.",82000000,190300000,Callahan Filmworks;Paramount Pictures;MTV Films;Columbia Pictures;Happy Madison Productions,United States of America,English,tt0398165
The Sisterhood of the Traveling Pants,2005-06-01,"Four best friends (Tibby, Lena, Carmen &amp; Bridget) who buy a mysterious pair of pants that fits each of them, despite their differing sizes, and makes whoever wears them feel fabulous. When faced with the prospect of spending their first summer apart, the pals decide they'll swap the pants so that each girl in turn can enjoy the magic.",6.5,1264,en,Drama;Comedy;Romance,119,Laugh. Cry. Share the pants.,25000000,39053061,Alloy Entertainment;Alcon Entertainment;Di Novi Pictures,United States of America,English;Español;ελληνικά,tt0403508
Mr. & Mrs. Smith,2005-06-07,"After five (or six) years of vanilla-wedded bliss, ordinary suburbanites John and Jane Smith are stuck in a huge rut. Unbeknownst to each other, they are both coolly lethal, highly-paid assassins working for rival organisations. When they discover they're each other's next target, their secret lives collide in a spicy, explosive mix of wicked comedy, pent-up passion, nonstop action and high-tech weaponry.",6.686,10145,en,Action;Comedy;Drama;Thriller,119,Til death do us part.,110000000,487300000,Regency Enterprises;New Regency Pictures;Summit Entertainment;Weed Road Pictures;Epsilon Motion Pictures,Switzerland;United States of America,English;Español,tt0356910
Batman Begins,2005-06-10,"Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",7.708,20597,en,Action;Crime;Drama,140,Evil fears the knight.,150000000,374218673,Warner Bros. Pictures;DC;Syncopy;Legendary Pictures;Patalex III Productions Limited,United Kingdom;United States of America,English;اردو;普通话,tt0372784
War of the Worlds,2005-06-28,"Ray Ferrier is a divorced dockworker and less-than-perfect father. Soon after his ex-wife and her new husband drop off his teenage son and young daughter for a rare weekend visit, a strange and powerful lightning storm touches down.",6.51,8195,en,Adventure;Thriller;Science Fiction,117,They're already here.,132000000,603873119,Paramount Pictures;DreamWorks Pictures;Amblin Entertainment;Cruise/Wagner Productions,United States of America,English,tt0407304
Fantastic Four,2005-06-29,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.",5.8,9136,en,Action;Fantasy;Science Fiction,106,4 times the action. 4 times the adventure. 4 times the fantastic.,100000000,333535934,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 3 KG;1492 Pictures;Marvel Enterprises;20th Century Fox;Bernd Eichinger Productions;Constantin Film,Germany;United States of America,English,tt0120667
The Descent,2005-07-08,"After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other.",6.967,3761,en,Adventure;Horror,99,Scream your last breath.,3500000,57130027,Celador Films;Northmen Productions;Pathe,United Kingdom,English,tt0435625
Wedding Crashers,2005-07-13,"John and his buddy, Jeremy are emotional criminals who know how to use a woman's hopes and dreams for their own carnal gain. Their modus operandi: crashing weddings. Normally, they meet guests who want to toast the romantic day with a random hook-up. But when John meets Claire, he discovers what true love – and heartache – feels like.",6.479,4246,en,Comedy;Romance,119,Life's a Party. Crash It.,40000000,288500000,Avery Pix;New Line Cinema;Tapestry Films,United States of America,English,tt0396269
